season,episode,total_lines,michael,dwight,jim,pam,andy,angela,kevin,erin,oscar,darryl,ryan,phyllis,jan,kelly,toby,stanley,holly,meredith,nellie,gabe,robert,david,creed,karen,clark,deangelo,charles,roy,pete,jo
1,1,240,84,29,36,50,0,1,1,0,3,0,8,2,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,2,211,81,17,25,12,0,4,8,0,13,0,4,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,255,55,74,42,32,0,5,6,0,9,0,1,0,18,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,4,243,68,47,49,22,0,7,3,0,14,0,4,5,0,0,4,2,0,10,0,0,0,0,0,0,0,0,0,3,0,0
1,5,232,106,25,21,14,0,3,1,0,2,15,8,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1,6,344,106,28,57,42,0,3,4,0,1,0,12,0,8,0,6,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0
2,1,259,96,32,36,40,0,1,1,0,2,1,2,10,9,7,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0
2,2,290,111,11,16,27,0,2,6,0,0,9,1,6,11,0,26,1,0,1,0,0,0,0,0,0,0,0,0,14,0,0
2,3,275,83,55,54,30,0,5,8,0,10,0,5,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,4,332,69,64,53,22,0,17,4,0,4,0,52,6,0,4,0,5,0,4,0,0,0,0,0,0,0,0,0,6,0,0
2,5,281,116,33,32,27,0,15,2,0,7,0,1,3,0,3,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0
2,6,269,85,64,49,25,0,3,3,0,0,0,19,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,261,74,24,40,34,0,0,1,0,4,0,6,4,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,8,286,111,44,26,30,0,5,3,0,1,0,1,1,56,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,9,280,82,34,56,38,0,13,8,0,6,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,290,87,41,28,17,0,9,11,0,8,11,15,5,0,8,3,5,0,12,0,0,0,0,4,0,0,0,0,8,0,0
2,11,227,79,22,29,17,0,1,0,0,1,3,2,4,0,4,0,8,0,3,0,0,0,0,0,0,0,0,0,11,0,0
2,12,370,125,62,54,64,0,5,2,0,3,0,13,3,0,1,7,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2,13,264,94,37,52,27,0,5,7,0,9,0,7,1,0,5,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2,14,269,106,28,29,27,0,2,6,0,5,3,15,1,0,9,1,2,0,0,0,0,0,0,9,0,0,0,0,6,0,0
2,15,286,76,14,22,26,0,5,3,0,0,27,2,9,61,9,0,1,0,5,0,0,0,0,0,0,0,0,0,15,0,0
2,16,196,44,19,17,22,0,4,5,0,2,0,4,3,16,13,0,0,0,2,0,0,0,12,0,0,0,0,0,5,0,0
2,17,198,52,49,34,19,0,4,4,0,3,0,7,4,0,5,4,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2,18,261,77,22,17,20,0,4,5,0,1,1,10,0,0,6,13,6,0,2,0,0,0,0,4,0,0,0,0,1,0,0
2,19,245,85,42,22,26,0,13,14,0,7,0,3,2,5,3,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,20,205,50,68,18,15,0,5,5,0,6,0,7,3,0,5,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,21,266,96,33,28,24,0,13,3,0,11,0,4,12,0,2,22,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2,22,387,99,31,53,44,0,5,16,0,4,8,1,9,48,0,4,1,0,1,0,0,0,0,4,0,0,0,0,11,0,0
3,1,134,49,16,10,6,5,4,1,0,15,0,0,3,7,1,9,1,0,0,0,0,0,0,1,1,0,0,0,4,0,0
3,2,313,112,41,36,32,0,9,3,0,0,0,3,2,12,8,6,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
3,3,261,75,72,11,17,10,12,4,0,0,0,0,5,27,7,0,2,0,0,0,0,0,0,2,7,0,0,0,2,0,0
3,4,237,86,37,15,25,4,6,2,0,0,0,5,3,12,3,3,5,0,1,0,0,0,0,6,15,0,0,0,5,0,0
3,5,271,33,45,49,54,5,4,3,0,0,0,38,2,9,6,1,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0
3,6,218,56,6,21,25,16,10,6,0,0,0,7,2,0,15,2,1,0,2,0,0,0,0,1,14,0,0,0,1,0,0
3,7,274,72,39,23,22,5,7,12,0,0,4,7,8,44,2,3,1,0,0,0,0,0,0,0,9,0,0,0,4,0,0
3,8,494,131,77,76,38,40,4,7,0,0,0,9,8,6,6,16,4,0,2,0,0,0,0,2,28,0,0,0,0,0,0
3,9,195,54,4,33,16,17,10,13,0,0,0,3,1,7,0,4,2,0,1,0,0,0,0,2,12,0,0,0,0,0,0
3,10,484,110,61,43,57,27,37,16,0,1,3,8,12,0,5,8,3,0,3,0,0,0,0,3,34,0,0,0,6,0,0
3,12,220,68,22,25,37,3,4,5,0,0,8,0,2,12,0,7,4,0,0,0,0,0,0,0,9,0,0,0,5,0,0
3,13,270,48,33,41,30,29,17,7,0,0,0,8,10,1,2,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0
3,14,211,49,25,27,10,40,16,3,0,11,0,3,3,0,0,0,2,0,2,0,0,0,0,3,4,0,0,0,0,0,0
3,15,254,76,28,25,30,0,4,2,0,0,0,6,0,6,3,0,1,0,2,0,0,0,0,0,17,0,0,0,1,0,0
3,16,177,49,25,19,15,0,3,4,0,0,0,0,15,0,5,2,2,0,1,0,0,0,0,0,4,0,0,0,9,0,0
3,17,186,45,22,11,26,0,2,6,0,4,0,14,0,0,9,3,1,0,3,0,0,0,0,5,5,0,0,0,8,0,0
3,18,307,98,31,23,22,0,1,8,0,0,0,3,0,46,1,3,0,0,0,0,0,0,8,2,12,0,0,0,24,0,0
3,19,357,109,17,43,14,2,11,8,0,4,42,9,4,32,14,17,4,0,0,0,0,0,0,3,15,0,0,0,8,0,0
3,20,283,81,56,23,21,17,1,13,0,3,25,5,0,0,5,8,2,0,0,0,0,0,0,3,4,0,0,0,0,0,0
3,21,252,50,31,48,16,32,11,7,0,6,0,2,1,0,8,0,1,0,0,0,0,0,0,8,4,0,0,0,0,0,0
3,22,282,78,40,29,37,10,11,11,0,0,0,5,12,11,4,7,0,0,5,0,0,0,0,6,15,0,0,0,0,0,0
3,23,284,105,38,22,23,18,8,5,0,5,0,3,1,0,9,4,11,0,1,0,0,0,15,2,9,0,0,0,0,0,0
3,24,507,124,58,69,42,22,6,17,0,10,0,4,4,41,3,0,7,0,6,0,0,0,47,2,38,0,0,0,0,0,0
4,1,502,136,60,54,85,7,44,17,0,9,5,7,4,7,6,9,9,0,20,0,0,0,0,9,0,0,0,0,0,0,0
4,3,581,143,67,43,72,14,22,13,0,3,0,80,13,16,21,18,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0
4,5,548,150,83,71,24,45,49,14,0,8,9,6,8,6,8,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0
4,7,459,141,40,43,50,13,4,9,0,25,10,21,2,31,12,2,9,0,1,0,0,0,0,7,0,0,0,0,0,0,0
4,9,232,61,10,27,18,21,2,3,0,1,16,8,7,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0
4,10,284,82,38,71,15,8,0,2,0,10,0,0,2,0,0,7,16,0,0,0,0,0,0,0,24,0,0,0,0,0,0
4,11,241,71,25,70,11,7,7,2,0,7,0,0,4,0,1,16,2,0,5,0,0,0,0,12,0,0,0,0,0,0,0
4,12,245,82,5,14,21,0,0,4,0,1,3,10,0,26,15,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
4,13,286,94,16,38,28,10,12,0,0,0,0,0,1,73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14,222,72,19,21,35,14,1,20,0,2,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
4,15,313,93,42,37,13,4,4,3,0,6,0,60,3,0,3,8,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0
4,16,261,91,32,23,16,25,3,8,0,2,13,6,7,0,1,10,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,17,198,45,11,19,37,12,4,7,0,5,6,0,2,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
4,18,540,167,37,65,44,7,14,27,0,1,2,5,18,24,4,37,1,71,4,0,0,0,0,7,0,0,0,0,0,0,0
5,1,529,118,47,61,40,29,26,16,0,20,10,17,16,5,12,1,8,75,4,0,0,0,0,5,0,0,0,0,0,0,0
5,3,221,63,15,27,9,11,2,5,0,5,0,3,3,0,3,0,3,51,13,0,0,0,0,1,0,0,0,0,0,0,0
5,4,282,83,43,27,25,13,13,4,0,3,9,0,7,38,2,0,2,10,1,0,0,0,0,2,0,0,0,0,0,0,0
5,5,272,75,31,21,5,7,8,5,0,5,8,0,23,0,0,0,1,40,0,0,0,0,0,2,0,0,0,0,14,0,0
5,6,327,81,36,25,25,40,0,1,0,1,35,4,4,0,5,0,1,36,1,0,0,0,0,2,0,0,0,0,0,15,0
5,7,374,65,87,107,30,26,6,2,0,0,1,6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,338,79,15,24,14,69,18,2,0,40,0,13,2,0,15,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0
5,9,302,92,40,31,26,6,2,2,0,3,0,18,3,0,10,29,0,0,2,0,0,0,11,2,0,0,0,0,0,0,0
5,10,360,130,29,35,62,17,23,3,0,31,0,0,2,0,1,2,4,0,1,0,0,0,6,1,0,0,0,0,0,0,0
5,11,240,65,27,26,6,8,12,3,0,5,6,0,19,0,1,15,4,0,36,0,0,0,0,1,0,0,0,0,0,0,0
5,12,292,52,65,33,9,69,21,8,0,10,0,0,3,0,2,0,2,0,6,0,0,0,8,2,0,0,0,0,0,0,0
5,13,281,98,84,14,5,5,3,14,0,3,0,0,4,0,2,0,5,0,2,0,0,0,9,1,0,0,0,0,0,0,0
5,14,422,123,72,37,31,23,16,8,0,10,5,0,11,0,3,0,30,0,3,0,0,0,1,4,0,0,0,0,0,0,0
5,16,234,54,24,33,35,27,0,0,0,1,0,0,3,0,8,0,7,0,0,0,0,0,0,5,20,0,0,0,0,0,0
5,17,241,47,33,33,39,0,16,15,0,11,0,0,1,0,16,0,2,0,9,0,0,0,0,2,2,0,0,0,0,0,0
5,18,306,90,31,35,32,0,4,15,0,14,0,0,11,0,9,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
5,19,321,115,75,41,24,12,0,10,0,7,3,0,0,0,0,0,1,0,0,0,0,0,25,2,0,0,0,0,0,0,0
5,20,304,108,21,32,14,4,8,5,0,1,0,0,3,0,7,0,2,0,0,0,0,0,20,0,0,0,0,70,0,0,0
5,21,270,89,12,26,38,14,6,13,0,11,0,0,3,0,6,1,9,0,2,0,0,0,0,1,0,0,0,27,0,0,0
5,22,318,86,17,35,69,15,3,10,0,1,0,11,2,0,1,0,4,0,0,0,0,0,0,1,0,0,0,40,0,0,0
5,23,264,46,28,34,45,18,0,2,16,5,0,27,1,0,5,3,3,0,1,0,0,0,0,2,0,0,0,25,0,0,0
5,24,288,92,91,24,15,25,0,1,0,0,0,6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0
5,25,290,76,25,31,33,3,2,1,1,0,0,24,1,0,1,0,1,0,0,0,0,0,38,0,0,0,0,39,0,0,0
5,26,329,99,49,29,34,12,5,1,12,5,1,25,13,0,2,13,12,0,8,0,0,0,0,9,0,0,0,0,0,0,0
5,27,279,86,28,19,19,16,19,7,23,5,0,2,25,0,11,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0
5,28,274,53,40,26,25,12,3,5,3,2,0,0,4,0,0,2,2,40,2,0,0,0,13,0,0,0,0,12,0,0,0
5,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,313,88,19,41,27,36,5,13,7,9,0,1,7,0,9,1,11,0,4,0,0,0,0,6,0,0,0,0,0,0,0
6,2,270,72,32,21,24,7,3,1,3,7,15,5,2,0,3,26,2,0,6,0,0,0,34,4,0,0,0,0,0,0,0
6,3,312,85,35,92,18,3,5,16,3,12,0,5,13,0,4,0,3,0,9,0,0,0,0,3,0,0,0,0,0,0,0
6,4,571,135,88,62,72,33,12,30,10,9,0,3,3,0,3,3,7,0,6,0,0,0,0,0,0,0,0,0,0,6,0
6,6,392,155,52,16,5,57,0,17,9,18,0,4,1,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
6,7,313,85,30,58,58,9,5,6,12,6,0,10,2,0,10,15,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0
6,8,335,91,14,53,43,39,10,10,17,11,7,1,9,0,2,0,3,0,8,0,0,0,0,3,0,0,0,0,0,0,0
6,9,397,137,50,28,74,28,2,6,3,3,0,8,2,0,5,9,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
6,10,247,67,30,47,12,24,6,11,15,8,0,1,5,0,1,0,6,0,4,0,0,0,4,2,0,0,0,0,0,0,0
6,11,278,76,26,37,12,14,0,4,3,18,0,18,7,0,0,0,4,0,1,0,0,0,20,1,0,0,0,0,0,0,0
6,12,270,70,38,38,14,22,3,8,21,2,0,4,4,0,1,0,2,0,0,0,0,0,8,1,0,0,0,0,0,0,0
6,13,342,95,37,47,16,16,6,13,11,13,3,8,27,0,3,6,5,0,3,0,0,0,19,2,0,0,0,0,0,0,0
6,14,183,66,47,0,5,1,2,2,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,300,86,9,26,25,10,2,1,6,5,0,0,1,0,0,2,1,0,2,0,18,0,46,1,0,0,0,0,0,0,8
6,16,298,70,38,35,5,24,1,5,23,6,0,19,4,0,11,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,33
6,17,721,125,49,146,188,25,21,37,37,3,0,2,6,0,3,1,3,0,6,0,0,0,0,1,0,13,0,0,0,0,0
6,19,278,52,29,40,1,24,3,3,20,4,13,3,1,0,3,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,53
6,20,289,94,43,51,3,15,6,8,7,1,9,3,18,0,8,2,11,0,3,0,7,0,0,0,0,0,0,0,0,0,0
6,21,375,76,34,35,31,35,17,9,16,20,10,5,6,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6,22,263,46,17,8,28,25,5,20,49,6,3,5,3,0,5,3,0,0,9,0,23,0,0,0,0,0,0,0,0,0,0
6,23,344,88,45,51,27,3,3,8,9,9,4,4,4,0,28,0,2,0,0,0,15,0,0,1,0,0,0,0,0,0,0
6,24,314,94,38,14,42,30,0,0,3,1,26,4,0,0,7,0,3,0,1,0,4,0,0,2,0,0,0,0,0,0,0
6,25,332,82,40,21,30,41,19,6,11,3,4,11,8,0,5,5,2,0,3,0,6,0,0,4,0,0,0,0,0,0,0
6,26,251,71,19,13,17,17,4,7,4,2,6,2,5,0,5,7,2,0,0,0,5,0,0,2,0,0,0,0,0,0,45
7,1,239,57,21,22,25,16,3,5,7,8,5,3,7,0,5,3,5,0,3,0,11,0,0,4,0,0,0,0,0,0,7
7,2,278,31,60,34,39,12,3,0,4,7,4,3,3,0,6,35,3,0,0,0,17,0,0,1,0,0,0,0,0,0,0
7,3,236,47,17,19,17,48,16,0,19,1,13,0,4,0,2,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0
7,4,319,94,40,4,8,40,2,10,4,7,8,1,5,16,5,0,4,16,7,0,3,0,0,2,0,0,0,0,0,0,0
7,5,400,87,56,61,10,40,2,14,2,18,23,3,8,0,3,0,5,0,15,0,0,0,0,2,0,0,0,0,0,0,0
7,6,294,59,14,27,24,16,5,19,7,8,28,6,5,0,5,4,7,0,1,0,14,0,0,3,0,0,0,0,0,0,0
7,7,294,82,16,38,33,25,8,4,9,2,2,6,5,0,2,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7,8,273,54,26,19,23,26,9,9,40,7,6,3,12,0,13,0,1,0,0,0,18,0,0,4,0,0,0,0,0,0,0
7,9,310,69,24,25,28,10,21,9,7,5,10,54,2,0,5,0,7,0,2,0,7,0,0,3,0,0,0,0,0,0,4
7,10,309,58,44,27,46,23,3,8,9,25,13,7,3,0,8,0,6,0,2,0,1,0,0,2,0,0,0,0,0,0,0
7,11,617,134,36,48,75,28,28,16,20,12,24,11,13,0,14,25,5,52,10,0,6,5,0,4,0,0,0,0,0,0,0
7,13,325,79,34,8,31,21,7,19,23,3,21,6,9,0,10,0,0,19,1,0,2,0,0,13,0,0,0,0,0,0,0
7,14,290,38,19,25,18,53,0,9,27,14,3,8,3,0,12,0,2,12,0,0,7,0,12,2,0,0,0,0,0,0,0
7,15,319,45,26,32,42,13,1,7,14,12,9,6,10,0,9,0,3,32,3,0,25,0,0,0,0,0,0,0,0,0,0
7,16,356,71,24,25,28,39,9,13,38,15,15,6,3,0,1,0,1,40,1,0,21,0,0,1,0,0,0,0,0,0,0
7,17,150,61,4,6,6,2,0,3,1,2,1,1,0,2,1,0,0,15,0,0,0,0,0,1,2,0,0,0,0,0,0
7,18,316,59,41,37,36,29,1,13,10,1,4,4,1,0,3,0,1,33,3,0,1,0,0,0,0,0,0,0,0,0,0
7,19,324,75,31,24,32,19,1,18,0,7,10,9,3,0,3,0,1,77,3,0,1,0,0,0,0,0,0,0,0,0,0
7,20,236,68,10,10,8,11,4,4,10,5,8,1,2,0,5,0,3,0,1,0,4,0,0,0,0,0,77,0,0,0,0
7,21,257,83,12,23,15,4,2,6,12,5,2,6,3,0,0,2,3,0,6,0,2,0,0,1,0,0,54,0,0,0,0
7,22,329,117,14,18,19,24,12,11,12,6,3,3,18,0,3,5,9,6,6,0,10,0,0,2,0,0,25,0,0,0,0
7,23,311,0,50,40,26,9,4,13,3,2,8,15,4,0,15,1,0,0,0,0,8,0,0,0,0,0,102,0,0,0,0
7,24,255,0,73,27,11,26,11,20,13,4,5,2,5,0,6,6,2,0,1,0,20,0,0,2,0,0,0,0,0,0,14
7,25,531,0,50,120,32,25,11,14,23,22,29,11,20,0,17,13,4,0,6,9,30,12,0,17,0,0,0,0,0,0,28
8,1,230,0,30,33,23,52,6,8,9,4,4,1,10,0,5,1,8,0,5,0,0,29,0,0,0,0,0,0,0,0,0
8,2,292,0,21,39,33,72,14,24,12,7,7,4,7,0,3,0,5,0,5,0,0,26,0,0,0,0,0,0,0,0,0
8,3,290,0,31,43,23,63,3,14,8,18,51,5,6,0,6,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
8,4,245,0,28,22,10,61,7,4,5,9,9,7,3,0,3,6,1,0,5,0,4,18,0,0,0,0,0,0,0,0,0
8,5,265,0,18,25,26,34,4,9,36,7,9,3,7,0,12,7,3,0,5,0,9,28,0,3,0,0,0,0,0,0,0
8,6,297,0,48,38,17,48,7,10,7,11,15,3,2,0,5,8,7,0,0,0,22,33,0,0,0,0,0,0,0,0,0
8,7,325,0,55,40,67,43,0,15,13,4,23,6,2,0,6,4,0,0,0,0,2,10,0,2,0,0,0,0,0,0,0
8,8,238,0,26,16,18,45,1,15,13,18,11,11,6,0,4,0,4,0,1,0,10,22,0,0,0,0,0,0,0,0,0
8,9,286,0,50,28,0,59,2,2,7,11,24,3,3,0,1,3,0,0,0,0,2,40,0,2,0,0,0,0,0,0,0
8,10,322,0,23,42,0,77,2,9,43,9,10,6,7,0,10,6,5,0,14,0,0,19,0,2,0,0,0,0,0,0,0
8,11,243,0,36,17,0,36,1,17,5,17,10,6,3,0,2,0,4,0,8,0,21,16,0,1,0,0,0,0,0,0,0
8,12,275,0,37,21,0,40,4,11,48,11,9,8,2,0,6,7,7,0,9,0,7,23,0,0,0,0,0,0,0,0,0
8,13,341,0,57,65,28,41,31,12,12,24,5,2,11,0,2,5,4,0,2,0,5,0,0,4,0,0,0,0,0,0,0
8,14,294,0,71,30,29,47,8,5,14,4,23,12,2,0,8,2,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0
8,15,245,0,63,32,10,22,0,2,21,1,4,9,0,0,3,0,13,0,2,27,0,0,0,2,0,0,0,0,0,0,0
8,16,349,0,60,53,15,22,13,6,25,10,14,22,4,0,8,0,6,0,0,24,6,0,0,0,0,0,0,0,0,0,0
8,17,259,0,53,28,10,28,11,8,10,6,4,17,2,0,9,18,1,0,3,18,0,0,0,1,0,0,0,0,0,0,0
8,18,266,0,45,45,10,20,3,21,15,4,26,2,6,0,3,16,2,0,1,12,1,0,0,2,0,0,0,0,0,0,0
8,19,294,0,35,39,17,32,1,8,32,1,27,1,4,0,1,3,1,0,2,42,0,24,0,1,0,0,0,0,0,0,0
8,20,309,0,22,39,34,48,8,3,25,11,1,3,9,0,0,0,1,0,0,22,2,19,0,3,0,0,0,0,0,0,0
8,21,320,0,16,19,29,73,7,9,24,7,5,32,10,0,13,1,1,0,1,42,4,18,0,2,0,0,0,0,0,0,0
8,22,239,0,15,24,22,41,4,18,7,16,14,17,1,0,0,0,1,0,2,17,0,13,5,1,0,0,0,0,0,0,0
8,23,292,0,60,48,23,28,3,1,8,1,0,0,1,0,0,7,1,0,0,15,13,33,4,1,0,0,0,0,0,0,0
8,24,305,0,27,35,24,51,20,3,9,11,15,0,5,0,4,5,1,0,2,21,2,15,17,1,0,0,0,0,0,0,0
9,1,225,0,42,21,19,33,16,7,4,9,3,1,1,0,2,11,3,0,2,10,0,0,1,1,0,22,0,0,0,13,0
9,2,302,0,33,39,34,35,7,10,31,5,11,0,1,0,0,5,1,0,1,33,0,0,0,4,0,22,0,0,11,16,0
9,3,242,0,24,21,32,44,2,3,21,7,31,0,3,0,0,0,2,0,1,33,0,0,0,0,0,4,0,0,0,5,0
9,4,314,0,40,59,29,40,5,16,11,14,11,0,5,0,0,2,10,0,7,27,0,0,0,3,0,12,0,0,0,2,0
9,5,280,0,39,37,34,50,6,2,22,3,6,0,0,0,0,4,2,0,5,21,0,0,0,3,0,5,0,0,0,2,0
9,6,293,0,33,9,11,56,12,26,46,27,4,0,0,0,0,9,0,0,3,16,0,0,0,1,0,0,0,0,0,10,0
9,7,294,0,54,21,47,9,23,3,17,20,3,0,14,25,0,5,0,0,4,6,0,0,6,1,0,4,0,0,0,8,0
9,8,323,0,57,29,17,0,60,16,6,22,6,0,12,0,0,8,13,0,8,9,0,0,3,3,0,0,0,0,0,23,0
9,9,291,0,59,60,32,0,13,13,24,7,17,0,10,0,0,11,5,0,5,11,0,0,0,2,0,0,0,0,0,22,0
9,10,257,0,18,28,44,0,16,16,26,10,15,0,8,0,0,0,4,0,22,9,0,0,0,4,0,0,0,0,0,9,0
9,11,274,0,41,18,23,0,13,19,11,19,19,0,6,0,0,0,4,0,6,15,0,0,0,3,0,35,0,0,0,2,0
9,12,282,0,44,39,47,0,6,12,18,8,21,0,3,0,0,7,1,0,2,24,0,0,0,2,0,1,0,0,0,12,0
9,13,279,0,90,45,23,0,1,1,2,2,2,0,0,0,0,0,2,0,5,3,0,0,0,0,0,32,0,0,0,0,0
9,14,262,0,37,30,59,0,15,6,10,12,35,0,1,0,0,3,0,0,1,9,0,0,0,1,0,4,0,0,0,0,0
9,15,268,0,32,28,30,66,4,6,26,7,3,0,6,8,0,0,1,0,2,7,0,0,0,0,0,9,0,0,0,8,0
9,16,514,0,44,28,57,85,44,5,33,8,5,0,10,0,0,15,5,0,7,8,20,0,17,4,0,9,0,0,0,45,0
9,17,218,0,52,6,21,5,8,12,4,11,1,0,8,0,0,0,2,0,3,2,0,0,0,3,0,5,0,0,0,0,0
9,18,332,0,49,31,42,11,32,9,3,29,12,0,6,0,0,2,5,0,3,4,0,0,0,0,0,25,0,0,0,2,0
9,19,262,0,58,15,9,31,2,5,10,7,0,0,5,0,0,14,18,0,2,13,0,7,0,2,0,38,0,0,0,2,0
9,20,233,0,21,17,22,39,16,10,16,2,10,0,0,0,0,7,2,0,0,20,0,2,0,1,0,6,0,0,0,4,0
9,21,392,0,56,65,30,72,30,13,9,19,11,0,4,0,0,7,4,0,1,5,0,0,0,2,0,8,0,0,0,5,0
9,22,517,0,87,91,34,44,39,38,24,28,30,0,7,0,0,0,4,0,9,0,0,0,0,4,0,5,0,0,0,4,0
9,24,516,2,76,73,45,31,23,31,11,18,19,15,17,0,12,13,8,0,15,9,0,0,0,8,0,3,0,0,0,3,0
